Chromosome,Plasmid,Label
NZ_CP070906.1,NZ_CP070910.1,1
NZ_CP070906.1,NZ_CP070911.1,1
NZ_CP070906.1,NZ_CP070912.1,1
NZ_CP070906.1,NZ_CP070913.1,1
NZ_CP070920.1,NZ_CP070921.1,1
NZ_CP070920.1,NZ_CP070922.1,1
NZ_CP070920.1,NZ_CP070923.1,1
NZ_CP070920.1,NZ_CP070924.1,1
NZ_CP070920.1,NZ_CP070925.1,1
NZ_CP070920.1,NZ_CP070926.1,1
NZ_CP070920.1,NZ_CP070927.1,1
NZ_CP070920.1,NZ_CP070928.1,1
NZ_CP070920.1,NZ_CP070929.1,1
NZ_CP063959.1,NZ_CP063960.1,1
NZ_CP063959.1,NZ_CP063961.1,1
NZ_CP063959.1,NZ_CP063962.1,1
NZ_CP063959.1,NZ_CP063963.1,1
NZ_CP046476.1,NZ_CP046477.1,1
NZ_CP046645.1,NZ_CP046646.1,1
NZ_CP046645.1,NZ_CP046647.1,1
NZ_CP046645.1,NZ_CP046648.1,1
NZ_CP046645.1,NZ_CP046649.1,1
NZ_CP046645.1,NZ_CP046650.1,1
NZ_CP046645.1,NZ_CP046651.1,1
NZ_CP046645.1,NZ_CP046652.1,1
NZ_CP053358.1,NZ_CP053359.1,1
NZ_CP053358.1,NZ_CP053360.1,1
NZ_CP053358.1,NZ_CP053361.1,1
NZ_CP053358.1,NZ_CP053362.1,1
NZ_CP053358.1,NZ_CP053363.1,1
NZ_CP048778.1,NZ_CP048779.1,1
NZ_CP048778.1,NZ_CP048780.1,1
NZ_CP048778.1,NZ_CP048781.1,1
NZ_CP048778.1,NZ_CP048782.1,1
NZ_CP048778.1,NZ_CP048783.1,1
NZ_CP048800.1,NZ_CP048801.1,1
NZ_CP048800.1,NZ_CP048802.1,1
NZ_CP048800.1,NZ_CP048803.1,1
NZ_CP048800.1,NZ_CP048804.1,1
NZ_CP048800.1,NZ_CP048805.1,1
NZ_CP062733.1,NZ_CP062734.1,1
NZ_CP062746.1,NZ_CP062747.1,1
NZ_CP062746.1,NZ_CP062748.1,1
NZ_CP062749.1,NZ_CP062750.1,1
NZ_CP062752.1,NZ_CP062753.1,1
NZ_CP062755.1,NZ_CP062756.1,1
NZ_CP062755.1,NZ_CP062757.1,1
NZ_CP062763.1,NZ_CP062764.1,1
NZ_CP062766.1,NZ_CP062767.1,1
NZ_CP062766.1,NZ_CP062768.1,1
NZ_CP062782.1,NZ_CP062783.1,1
NZ_CP062782.1,NZ_CP062784.1,1
NZ_CP062782.1,NZ_CP062785.1,1
NZ_CP062771.1,NZ_CP062772.1,1
NZ_CP062771.1,NZ_CP062773.1,1
NZ_CP062774.1,NZ_CP062775.1,1
NZ_CP062774.1,NZ_CP062776.1,1
NZ_CP062774.1,NZ_CP062777.1,1
NZ_CP070503.1,NZ_CP070504.1,1
NZ_AP024498.1,NZ_AP024500.1,1
NZ_AP024498.1,NZ_AP024499.1,1
NZ_AP024145.1,NZ_AP024146.1,1
NZ_AP024145.1,NZ_AP024147.1,1
NZ_AP024145.1,NZ_AP024148.1,1
NZ_AP024145.1,NZ_AP024149.1,1
NZ_AP024145.1,NZ_AP024150.1,1
NZ_AP024145.1,NZ_AP024151.1,1
NZ_CP071393.1,NZ_CP071394.1,1
NZ_CP071393.1,NZ_CP071395.1,1
NZ_CP071393.1,NZ_CP071396.1,1
NZ_CP071393.1,NZ_CP071397.1,1
NZ_CP071393.1,NZ_CP071398.1,1
NZ_CP071508.1,NZ_CP071509.1,1
NZ_CP071512.1,NZ_CP071513.1,1
NZ_CP071505.1,NZ_CP071506.1,1
NZ_CP071522.1,NZ_CP071523.1,1
NZ_CP071522.1,NZ_CP071524.1,1
NZ_CP071587.1,NZ_CP071588.1,1
NZ_CP059084.1,NZ_CP059083.1,1
NZ_CP059084.1,NZ_CP059085.1,1
NZ_CP071802.1,NZ_CP071804.1,1
NZ_CP071802.1,NZ_CP071803.1,1
NZ_CP066366.1,NZ_CP066367.1,1
NZ_CP066366.1,NZ_CP066368.1,1
NZ_CP071931.1,NZ_CP071930.1,1
NZ_CP071931.1,NZ_CP071929.1,1
NZ_CP071931.1,NZ_CP071928.1,1
NZ_CP071931.1,NZ_CP071927.1,1
NZ_CP071931.1,NZ_CP071925.1,1
NZ_CP067232.1,NZ_CP067233.1,1
NZ_CP067232.1,NZ_CP067234.1,1
NZ_CP067241.1,NZ_CP067242.1,1
NZ_CP067241.1,NZ_CP067243.1,1
NZ_CP067241.1,NZ_CP067244.1,1
NZ_CP067245.1,NZ_CP067246.1,1
NZ_CP067245.1,NZ_CP067247.1,1
NZ_CP067245.1,NZ_CP067248.1,1
NZ_CP067245.1,NZ_CP067249.1,1
NZ_CP067250.1,NZ_CP067251.1,1
NZ_CP067250.1,NZ_CP067252.1,1
NZ_CP067250.1,NZ_CP067253.1,1
NZ_CP067250.1,NZ_CP067254.1,1
NZ_CP067255.1,NZ_CP067256.1,1
NZ_CP067255.1,NZ_CP067257.1,1
NZ_CP067255.1,NZ_CP067258.1,1
NZ_CP067255.1,NZ_CP067259.1,1
NZ_CP067255.1,NZ_CP067260.1,1
NZ_CP067261.1,NZ_CP067262.1,1
NZ_CP067261.1,NZ_CP067263.1,1
NZ_CP067261.1,NZ_CP067264.1,1
NZ_CP067265.1,NZ_CP067266.1,1
NZ_CP067265.1,NZ_CP067267.1,1
NZ_CP067265.1,NZ_CP067268.1,1
NZ_CP067265.1,NZ_CP067269.1,1
NZ_CP067265.1,NZ_CP067270.1,1
NZ_CP067265.1,NZ_CP067271.1,1
NZ_CP067265.1,NZ_CP067272.1,1
NZ_CP067265.1,NZ_CP067273.1,1
NZ_CP067299.1,NZ_CP067300.1,1
NZ_CP067299.1,NZ_CP067301.1,1
NZ_CP067299.1,NZ_CP067302.1,1
NZ_CP067303.1,NZ_CP067304.1,1
NZ_CP067303.1,NZ_CP067305.1,1
NZ_CP067303.1,NZ_CP067306.1,1
NZ_CP067307.1,NZ_CP067308.1,1
NZ_CP067307.1,NZ_CP067309.1,1
NZ_CP067307.1,NZ_CP067310.1,1
NZ_CP067274.1,NZ_CP067275.1,1
NZ_CP067274.1,NZ_CP067276.1,1
NZ_CP067274.1,NZ_CP067277.1,1
NZ_CP067274.1,NZ_CP067278.1,1
NZ_CP067274.1,NZ_CP067279.1,1
NZ_CP067274.1,NZ_CP067280.1,1
NZ_CP067274.1,NZ_CP067284.1,1
NZ_CP067274.1,NZ_CP067286.1,1
NZ_CP067274.1,NZ_CP067288.1,1
NZ_CP067274.1,NZ_CP067291.1,1
NZ_CP067274.1,NZ_CP067292.1,1
NZ_CP046926.1,NZ_CP046927.1,1
NZ_CP046928.1,NZ_CP046929.1,1
NZ_CP046930.1,NZ_CP046931.1,1
NZ_CP046932.1,NZ_CP046933.1,1
NZ_CP051149.1,NZ_CP051150.1,1
NZ_CP072608.1,NZ_CP072609.1,1
NZ_CP072837.1,NZ_CP072838.1,1
NZ_CP072837.1,NZ_CP072839.1,1
NZ_CP072837.1,NZ_CP072840.1,1
NZ_CP072837.1,NZ_CP072841.1,1
NZ_CP058358.1,NZ_CP058359.1,1
NZ_CP058358.1,NZ_CP058360.1,1
NZ_CP058361.1,NZ_CP058362.1,1
NZ_CP058361.1,NZ_CP058363.1,1
NZ_CP072949.1,NZ_CP072950.1,1
NZ_CP072949.1,NZ_CP072951.1,1
NZ_CP072949.1,NZ_CP072952.1,1
NZ_CP072953.1,NZ_CP072954.1,1
NZ_CP072953.1,NZ_CP072955.1,1
NZ_CP072953.1,NZ_CP072956.1,1
NZ_CP072953.1,NZ_CP072957.1,1
NZ_CP072953.1,NZ_CP072958.1,1
NZ_CP072953.1,NZ_CP072959.1,1
NZ_CP072953.1,NZ_CP072960.1,1
NZ_CP072970.1,NZ_CP072971.1,1
NZ_CP072970.1,NZ_CP072972.1,1
NZ_CP072970.1,NZ_CP072973.1,1
NZ_CP072539.1,NZ_CP072540.1,1
NZ_CP072539.1,NZ_CP072542.1,1
NZ_CP072539.1,NZ_CP072544.1,1
NZ_CP072539.1,NZ_CP072545.1,1
NZ_CP072539.1,NZ_CP072543.1,1
NZ_CP070991.1,NZ_CP070992.1,1
NZ_CP071104.1,NZ_CP071105.1,1
NZ_CP073060.1,NZ_CP073061.1,1
NZ_CP073653.1,NZ_CP073654.1,1
NZ_CP042282.1,NZ_CP042281.1,1
NZ_CP042282.1,NZ_CP042283.1,1
NZ_CP084397.1,NZ_CP084395.1,1
NZ_CP084397.1,NZ_CP084394.1,1
NZ_CP084397.1,NZ_CP084396.1,1
NZ_CP094991.1,NZ_CP094992.1,1
NZ_CP094991.1,NZ_CP094993.1,1
NZ_CP094991.1,NZ_CP094994.1,1
NZ_CP094991.1,NZ_CP094996.1,1
NZ_CP074087.1,NZ_CP074088.1,1
NZ_CP074087.1,NZ_CP074089.1,1
NZ_CP074087.1,NZ_CP074090.1,1
NZ_CP074087.1,NZ_CP074091.1,1
NZ_AP024582.1,NZ_AP024583.1,1
NZ_AP024582.1,NZ_AP024584.1,1
NZ_AP024585.1,NZ_AP024586.1,1
NZ_AP024585.1,NZ_AP024587.1,1
NZ_AP024585.1,NZ_AP024588.1,1
NZ_AP024592.1,NZ_AP024593.1,1
NZ_AP024515.1,NZ_AP024516.1,1
NZ_AP024515.1,NZ_AP024517.1,1
NZ_CP075323.1,NZ_CP075324.1,1
NZ_CP071709.1,NZ_CP071710.1,1
NZ_CP076043.1,NZ_CP076044.1,1
NZ_CP087103.1,NZ_CP087104.1,1
NZ_CP087103.1,NZ_CP087105.1,1
NZ_CP076344.1,NZ_CP076345.1,1
NZ_CP076344.1,NZ_CP076346.1,1
NZ_CP076344.1,NZ_CP076347.1,1
NZ_CP045707.1,NZ_CP045708.1,1
NZ_CP045707.1,NZ_CP045709.1,1
NZ_CP045707.1,NZ_CP045710.1,1
NZ_CP048849.1,NZ_CP048851.1,1
NZ_CP048849.1,NZ_CP048850.1,1
NZ_CP048131.1,NZ_CP048135.1,1
NZ_CP048131.1,NZ_CP048134.1,1
NZ_CP048131.1,NZ_CP048133.1,1
NZ_CP048131.1,NZ_CP048132.1,1
NZ_CP049314.1,NZ_CP049315.1,1
NZ_CP059009.1,NZ_CP059011.1,1
NZ_CP059009.1,NZ_CP059019.1,1
NZ_CP059009.1,NZ_CP059025.1,1
NZ_CP059009.1,NZ_CP059016.1,1
NZ_CP059009.1,NZ_CP059014.1,1
NZ_CP059009.1,NZ_CP059010.1,1
NZ_CP059009.1,NZ_CP059012.1,1
NZ_CP059009.1,NZ_CP059020.1,1
NZ_CP059009.1,NZ_CP059021.1,1
NZ_CP059009.1,NZ_CP059013.1,1
NZ_CP059009.1,NZ_CP059017.1,1
NZ_CP059009.1,NZ_CP059015.1,1
NZ_CP059009.1,NZ_CP059027.1,1
NZ_CP059009.1,NZ_CP059018.1,1
NZ_CP059009.1,NZ_CP059026.1,1
NZ_CP059009.1,NZ_CP059024.1,1
NZ_CP059009.1,NZ_CP059023.1,1
NZ_CP059009.1,NZ_CP059022.1,1
NZ_CP073017.1,NZ_CP073018.1,1
NZ_CP073017.1,NZ_CP073019.1,1
NZ_CP073017.1,NZ_CP073020.1,1
NZ_CP073017.1,NZ_CP073021.1,1
NZ_CP073017.1,NZ_CP073022.1,1
NZ_CP073017.1,NZ_CP073023.1,1
NZ_CP049150.1,NZ_CP049151.1,1
NZ_CP049150.1,NZ_CP049152.1,1
NZ_CP049150.1,NZ_CP049153.1,1
NZ_CP076510.1,NZ_CP076512.1,1
NZ_CP075604.2,NZ_CP075605.1,1
NZ_CP075604.2,NZ_CP075606.1,1
NZ_CP076714.1,NZ_CP076715.1,1
NZ_CP076714.1,NZ_CP076717.1,1
NZ_CP076709.1,NZ_CP076713.1,1
NZ_CP076704.1,NZ_CP076705.1,1
NZ_CP077206.1,NZ_CP077207.1,1
NZ_CP077206.1,NZ_CP077208.1,1
NZ_CP077201.1,NZ_CP077202.1,1
NZ_CP077201.1,NZ_CP077203.1,1
NZ_CP077201.1,NZ_CP077204.1,1
NZ_CP077221.1,NZ_CP077222.1,1
NZ_CP077407.1,NZ_CP077408.1,1
NZ_CP077407.1,NZ_CP077409.1,1
NZ_CP077238.1,NZ_CP077239.1,1
NZ_CP077238.1,NZ_CP077240.1,1
NZ_CP077238.1,NZ_CP077241.1,1
NZ_CP077279.1,NZ_CP077280.1,1
NZ_CP077291.1,NZ_CP077292.1,1
NZ_CP077317.1,NZ_CP077318.1,1
NZ_CP077317.1,NZ_CP077319.1,1
NZ_CP077331.1,NZ_CP077332.1,1
NZ_CP077331.1,NZ_CP077333.1,1
NZ_CP077331.1,NZ_CP077334.1,1
NZ_CP077331.1,NZ_CP077335.1,1
NZ_CP077311.1,NZ_CP077312.1,1
NZ_CP077311.1,NZ_CP077313.1,1
NZ_CP077336.1,NZ_CP077338.1,1
NZ_CP077336.1,NZ_CP077339.1,1
NZ_CP077336.1,NZ_CP077337.1,1
NZ_CP077336.1,NZ_CP077340.1,1
NZ_CP077336.1,NZ_CP077341.1,1
NZ_CP077320.1,NZ_CP077321.1,1
NZ_CP077320.1,NZ_CP077322.1,1
NZ_CP077320.1,NZ_CP077323.1,1
NZ_CP077320.1,NZ_CP077324.1,1
NZ_CP077363.1,NZ_CP077364.1,1
NZ_CP077411.1,NZ_CP077412.1,1
NZ_CP077411.1,NZ_CP077413.1,1
NZ_CP077411.1,NZ_CP077410.1,1
NZ_CP077369.1,NZ_CP077370.1,1
NZ_CP077369.1,NZ_CP077371.1,1
NZ_CP077369.1,NZ_CP077372.1,1
NZ_CP077369.1,NZ_CP077373.1,1
NZ_CP077369.1,NZ_CP077374.1,1
NZ_CP077369.1,NZ_CP077375.1,1
NZ_CP077369.1,NZ_CP077376.1,1
NZ_CP077369.1,NZ_CP077377.1,1
NZ_CP077392.1,NZ_CP077393.1,1
NZ_CP077399.1,NZ_CP077400.1,1
NZ_CP077401.1,NZ_CP077402.1,1
NZ_CP077635.1,NZ_CP077637.1,1
NZ_CP077635.1,NZ_CP077636.1,1
NZ_CP074701.1,NZ_CP074702.1,1
NZ_CP074701.1,NZ_CP074703.1,1
NZ_CP074701.1,NZ_CP074704.1,1
NZ_CP074701.1,NZ_CP074705.1,1
NZ_CP074701.1,NZ_CP074706.1,1
NZ_CP072878.1,NZ_CP072879.1,1
NZ_CP072878.1,NZ_CP072880.1,1
NZ_CP072884.1,NZ_CP072885.1,1
NZ_CP072884.1,NZ_CP072886.1,1
NZ_CP072884.1,NZ_CP072887.1,1
NZ_CP072891.1,NZ_CP072892.1,1
NZ_CP072891.1,NZ_CP072893.1,1
NZ_CP078094.1,NZ_CP078095.1,1
NZ_CP076349.1,NZ_CP076350.1,1
NZ_CP076349.1,NZ_CP076351.1,1
NZ_CP063229.1,NZ_CP063230.1,1
NZ_CP079898.1,NZ_CP079899.1,1
NZ_CP079950.1,NZ_CP079951.1,1
NZ_CP079950.1,NZ_CP079952.1,1
NZ_CP079950.1,NZ_CP079953.1,1
NZ_CP079950.1,NZ_CP079954.1,1
NZ_CP079965.1,NZ_CP079966.1,1
NZ_CP079965.1,NZ_CP079967.1,1
NZ_CP079965.1,NZ_CP079968.1,1
NZ_CP079981.1,NZ_CP079982.1,1
NZ_CP079981.1,NZ_CP079983.1,1
NZ_CP079984.1,NZ_CP079985.1,1
NZ_CP079984.1,NZ_CP079986.1,1
NZ_CP079984.1,NZ_CP079987.1,1
NZ_CP079984.1,NZ_CP079988.1,1
NZ_CP079984.1,NZ_CP079989.1,1
NZ_CP079984.1,NZ_CP079990.1,1
NZ_CP080013.1,NZ_CP080014.1,1
NZ_CP080013.1,NZ_CP080015.1,1
NZ_CP080013.1,NZ_CP080016.1,1
NZ_CP080013.1,NZ_CP080017.1,1
NZ_CP080013.1,NZ_CP080018.1,1
NZ_CP080013.1,NZ_CP080019.1,1
NZ_CP080013.1,NZ_CP080020.1,1
NZ_CP080013.1,NZ_CP080021.1,1
NZ_CP080013.1,NZ_CP080022.1,1
NZ_CP080013.1,NZ_CP080023.1,1
NZ_CP080013.1,NZ_CP080024.1,1
NZ_CP080223.1,NZ_CP080224.1,1
NZ_CP080223.1,NZ_CP080225.1,1
NZ_CP080223.1,NZ_CP080228.1,1
NZ_CP080223.1,NZ_CP080227.1,1
NZ_CP080223.1,NZ_CP080226.1,1
NZ_CP080223.1,NZ_CP080229.1,1
NZ_CP080223.1,NZ_CP080231.1,1
NZ_CP080233.1,NZ_CP080234.1,1
NZ_CP080235.1,NZ_CP080236.1,1
NZ_CP080235.1,NZ_CP080237.1,1
NZ_CP080291.1,NZ_CP080292.1,1
NZ_CP059999.1,NZ_CP060000.1,1
NZ_CP059999.1,NZ_CP060001.1,1
NZ_CP060002.1,NZ_CP060003.1,1
NZ_CP049839.1,NZ_CP049840.1,1
NZ_CP049839.1,NZ_CP049844.1,1
NZ_CP049839.1,NZ_CP049841.1,1
NZ_CP049839.1,NZ_CP049842.1,1
NZ_CP049839.1,NZ_CP049843.1,1
NZ_CP049852.1,NZ_CP049853.1,1
NZ_CP049852.1,NZ_CP049854.1,1
NZ_CP049852.1,NZ_CP049855.1,1
NZ_CP049852.1,NZ_CP049856.1,1
NZ_CP074105.1,NZ_CP074106.1,1
NZ_CP074107.1,NZ_CP074108.1,1
NZ_CP074109.1,NZ_CP074110.1,1
NZ_CP080452.1,NZ_CP080456.1,1
NZ_CP080452.1,NZ_CP080455.1,1
NZ_CP080452.1,NZ_CP080453.1,1
NZ_CP080513.1,NZ_CP080514.1,1
NZ_CP080513.1,NZ_CP080515.1,1
NZ_CP080513.1,NZ_CP080517.1,1
NZ_CP080513.1,NZ_CP080516.1,1
NZ_CP068279.1,NZ_CP068280.1,1
NZ_CP068283.1,NZ_CP068284.1,1
NZ_CP080764.1,NZ_CP080765.1,1
NZ_CP077646.1,NZ_CP077647.1,1
NZ_CP077646.1,NZ_CP077648.1,1
NZ_AP023300.1,NZ_AP023301.1,1
NZ_AP023300.1,NZ_AP023302.1,1
NZ_AP023304.1,NZ_AP023305.1,1
NZ_AP023309.1,NZ_AP023310.1,1
NZ_AP023311.1,NZ_AP023312.1,1
NZ_AP023313.1,NZ_AP023314.1,1
NZ_AP023315.1,NZ_AP023316.1,1
NZ_AP024708.1,NZ_AP024709.1,1
NZ_AP024798.1,NZ_AP024799.1,1
NZ_AP024798.1,NZ_AP024800.1,1
NZ_AP024798.1,NZ_AP024801.1,1
NZ_AP024802.1,NZ_AP024803.1,1
NZ_AP024802.1,NZ_AP024804.1,1
NZ_AP024802.1,NZ_AP024805.1,1
NZ_AP024802.1,NZ_AP024806.1,1
NZ_AP024802.1,NZ_AP024807.1,1
NZ_AP024802.1,NZ_AP024808.1,1
NZ_AP024802.1,NZ_AP024809.1,1
NZ_AP024802.1,NZ_AP024810.1,1
NZ_AP024802.1,NZ_AP024811.1,1
NZ_AP024802.1,NZ_AP024812.1,1
NZ_AP024802.1,NZ_AP024813.1,1
NZ_AP024504.2,NZ_AP024505.1,1
NZ_AP024504.2,NZ_AP024506.1,1
NZ_AP024504.2,NZ_AP024507.1,1
NZ_AP024504.2,NZ_AP024508.1,1
NZ_CP073627.1,NZ_CP073628.1,1
NZ_CP073627.1,NZ_CP073629.1,1
NZ_CP073788.1,NZ_CP073789.1,1
NZ_CP073788.1,NZ_CP073790.1,1
NZ_CP073791.1,NZ_CP073792.1,1
NZ_CP073791.1,NZ_CP073793.1,1
NZ_CP073791.1,NZ_CP073794.1,1
NZ_CP073791.1,NZ_CP073796.1,1
NZ_CP081964.1,NZ_CP081962.1,1
NZ_CP081964.1,NZ_CP081963.1,1
NZ_CP082240.1,NZ_CP082241.1,1
NZ_CP082240.1,NZ_CP082242.1,1
NZ_CP082357.1,NZ_CP082358.1,1
NZ_CP082360.1,NZ_CP082361.1,1
NZ_CP082331.1,NZ_CP082332.1,1
NZ_CP082333.1,NZ_CP082334.1,1
NZ_CP082349.1,NZ_CP082350.1,1
NZ_CP059542.1,NZ_CP059543.1,1
NZ_CP059542.1,NZ_CP059544.1,1
NZ_CP059542.1,NZ_CP059545.1,1
NZ_CP061705.1,NZ_CP061706.1,1
NZ_CP061705.1,NZ_CP061707.1,1
NZ_CP061705.1,NZ_CP061708.1,1
NZ_CP079737.1,NZ_CP079738.1,1
NZ_CP079737.1,NZ_CP079739.1,1
NZ_CP079737.1,NZ_CP079741.1,1
NZ_CP115837.1,NZ_CP115838.1,1
NZ_CP115837.1,NZ_CP115839.1,1
NZ_CP082848.1,NZ_CP082849.1,1
NZ_CP082852.1,NZ_CP082855.1,1
NZ_CP082852.1,NZ_CP082853.1,1
NZ_CP082852.1,NZ_CP082854.1,1
NZ_CP082871.1,NZ_CP082872.1,1
NZ_CP082881.1,NZ_CP082878.1,1
NZ_CP082881.1,NZ_CP082879.1,1
NZ_CP082881.1,NZ_CP082880.1,1
NZ_CP082868.1,NZ_CP082869.1,1
NZ_AP024847.1,NZ_AP024848.1,1
NZ_AP024831.1,NZ_AP024832.1,1
NZ_AP024831.1,NZ_AP024833.1,1
NZ_AP024831.1,NZ_AP024834.1,1
NZ_AP024831.1,NZ_AP024835.1,1
NZ_AP024831.1,NZ_AP024836.1,1
NZ_AP024837.1,NZ_AP024838.1,1
NZ_AP024837.1,NZ_AP024839.1,1
NZ_AP024837.1,NZ_AP024840.1,1
NZ_AP024837.1,NZ_AP024841.1,1
NZ_AP024837.1,NZ_AP024842.1,1
NZ_AP024837.1,NZ_AP024843.1,1
NZ_CP082363.1,NZ_CP082364.1,1
NZ_CP082363.1,NZ_CP082365.1,1
NZ_CP082363.1,NZ_CP082366.1,1
NZ_CP082363.1,NZ_CP082367.1,1
NZ_CP082363.1,NZ_CP082368.1,1
NZ_CP082363.1,NZ_CP082369.1,1
NZ_CP083389.1,NZ_CP083390.1,1
NZ_CP083389.1,NZ_CP083391.1,1
NZ_CP083393.1,NZ_CP083394.1,1
NZ_CP083445.1,NZ_CP083446.1,1
NZ_CP083445.1,NZ_CP083447.1,1
NZ_CP081922.1,NZ_CP081921.1,1
NZ_CP083592.1,NZ_CP083593.1,1
NZ_CP083595.1,NZ_CP083596.1,1
NZ_CP083595.1,NZ_CP083597.1,1
NZ_CP083602.1,NZ_CP083603.1,1
NZ_CP083604.1,NZ_CP083605.1,1
NZ_CP083604.1,NZ_CP083606.1,1
NZ_CP083604.1,NZ_CP083607.1,1
NZ_CP083608.1,NZ_CP083609.1,1
NZ_CP083613.1,NZ_CP083615.1,1
NZ_CP083613.1,NZ_CP083614.1,1
NZ_CP083616.1,NZ_CP083617.1,1
NZ_CP083616.1,NZ_CP083618.1,1
NZ_CP083616.1,NZ_CP083619.1,1
NZ_CP083620.1,NZ_CP083621.1,1
NZ_CP083633.1,NZ_CP083634.1,1
NZ_CP083633.1,NZ_CP083635.1,1
NZ_CP083641.1,NZ_CP083642.1,1
NZ_CP083643.1,NZ_CP083644.1,1
NZ_CP083658.1,NZ_CP083659.1,1
NZ_CP083658.1,NZ_CP083660.1,1
NZ_CP083658.1,NZ_CP083661.1,1
NZ_CP083658.1,NZ_CP083662.1,1
NZ_CP082952.1,NZ_CP082953.1,1
NZ_CP137883.1,NZ_CP137884.1,1
NZ_CP137883.1,NZ_CP137885.1,1
NZ_CP083877.1,NZ_CP083878.1,1
NZ_CP083872.1,NZ_CP083875.1,1
NZ_CP083888.1,NZ_CP083889.1,1
NZ_CP083888.1,NZ_CP083890.1,1
NZ_CP083886.1,NZ_CP083884.1,1
NZ_CP083880.1,NZ_CP083881.1,1
NZ_CP083796.1,NZ_CP083797.1,1
NZ_CP083796.1,NZ_CP083798.1,1
NZ_CP083796.1,NZ_CP083799.1,1
NZ_CP083796.1,NZ_CP083800.1,1
NZ_CP083796.1,NZ_CP083801.1,1
NZ_CP083790.1,NZ_CP083791.1,1
NZ_CP083790.1,NZ_CP083792.1,1
NZ_CP083790.1,NZ_CP083793.1,1
NZ_CP083790.1,NZ_CP083794.1,1
NZ_CP083790.1,NZ_CP083795.1,1
NZ_CP083784.1,NZ_CP083785.1,1
NZ_CP083784.1,NZ_CP083786.1,1
NZ_CP083784.1,NZ_CP083787.1,1
NZ_CP083784.1,NZ_CP083788.1,1
NZ_CP083784.1,NZ_CP083789.1,1
NZ_CP083768.1,NZ_CP083769.1,1
NZ_CP083768.1,NZ_CP083770.1,1
NZ_CP083768.1,NZ_CP083771.1,1
NZ_CP083768.1,NZ_CP083772.1,1
NZ_CP083768.1,NZ_CP083773.1,1
NZ_CP083768.1,NZ_CP083774.1,1
NZ_CP083737.1,NZ_CP083738.1,1
NZ_CP083737.1,NZ_CP083739.1,1
NZ_CP083912.1,NZ_CP083913.1,1
NZ_CP083912.1,NZ_CP083914.1,1
NZ_CP083912.1,NZ_CP083915.1,1
NZ_CP083912.1,NZ_CP083916.1,1
NZ_CP083912.1,NZ_CP083917.1,1
NZ_CP083912.1,NZ_CP083918.1,1
NZ_CP083912.1,NZ_CP083919.1,1
NZ_CP072456.1,NZ_CP072457.1,1
NZ_CP072456.1,NZ_CP072458.1,1
NZ_CP072456.1,NZ_CP072459.1,1
NZ_CP098727.1,NZ_CP098728.1,1
NZ_CP084189.1,NZ_CP084188.1,1
NZ_CP084189.1,NZ_CP084191.1,1
NZ_CP084189.1,NZ_CP084190.1,1
NZ_CP084189.1,NZ_CP084192.1,1
NZ_CP084189.1,NZ_CP084193.1,1
NZ_CP084364.1,NZ_CP084365.1,1
NZ_CP084364.1,NZ_CP084366.1,1
NZ_CP084372.1,NZ_CP084373.1,1
NZ_CP084372.1,NZ_CP084374.1,1
NZ_CP084372.1,NZ_CP084375.1,1
NZ_CP084369.1,NZ_CP084370.1,1
NZ_CP084369.1,NZ_CP084371.1,1
NZ_CP073624.1,NZ_CP073625.1,1
NZ_CP073624.1,NZ_CP073626.1,1
NZ_CP084592.1,NZ_CP084593.1,1
NZ_CP084592.1,NZ_CP084594.1,1
NZ_CP084592.1,NZ_CP084595.1,1
NZ_CP084592.1,NZ_CP084596.1,1
NZ_CP084592.1,NZ_CP084597.1,1
NZ_CP084586.1,NZ_CP084588.1,1
NZ_CP084586.1,NZ_CP084589.1,1
NZ_CP084586.1,NZ_CP084590.1,1
NZ_CP076235.1,NZ_CP076236.1,1
NZ_CP076241.1,NZ_CP076242.1,1
NZ_CP076243.1,NZ_CP076244.1,1
NZ_CP084662.1,NZ_CP084663.1,1
NZ_CP084664.1,NZ_CP084665.1,1
NZ_CP084664.1,NZ_CP084666.1,1
NZ_CP084664.1,NZ_CP084667.1,1
NZ_CP084664.1,NZ_CP084668.1,1
NZ_CP084866.1,NZ_CP084867.1,1
NZ_CP084779.1,NZ_CP084780.1,1
NZ_CP084779.1,NZ_CP084781.1,1
NZ_CP084779.1,NZ_CP084782.1,1
NZ_CP084783.1,NZ_CP084784.1,1
NZ_CP084783.1,NZ_CP084785.1,1
NZ_CP084783.1,NZ_CP084786.1,1
NZ_CP084856.1,NZ_CP084857.1,1
NZ_CP084856.1,NZ_CP084858.1,1
NZ_CP084787.1,NZ_CP084788.1,1
NZ_CP084770.1,NZ_CP084771.1,1
NZ_CP084770.1,NZ_CP084773.1,1
NZ_CP084770.1,NZ_CP084774.1,1
NZ_CP084770.1,NZ_CP084772.1,1
NZ_CP084770.1,NZ_CP084775.1,1
NZ_CP084770.1,NZ_CP084776.1,1
NZ_CP084803.1,NZ_CP084804.1,1
NZ_CP084803.1,NZ_CP084805.1,1
NZ_CP084818.1,NZ_CP084819.1,1
NZ_CP084818.1,NZ_CP084820.1,1
NZ_CP084818.1,NZ_CP084821.1,1
NZ_CP084818.1,NZ_CP084822.1,1
NZ_CP084806.1,NZ_CP084807.1,1
NZ_CP084806.1,NZ_CP084808.1,1
NZ_CP084806.1,NZ_CP084809.1,1
